epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,16770.8,0.6497,0.5868,1.08877,0.66065,0.61334,0.6168,0.4356,1.35792,1.41945,1.70935,0.000481144,0.000481144,0.000481144
136,16875.7,0.63896,0.57164,1.09256,0.70942,0.60565,0.61767,0.43381,1.36141,1.43851,1.70978,0.000474071,0.000474071,0.000474071
137,16985.8,0.64916,0.5811,1.08505,0.6726,0.60968,0.61551,0.43495,1.33921,1.39686,1.6674,0.000466997,0.000466997,0.000466997
138,17107.6,0.64506,0.57974,1.09291,0.68806,0.59701,0.61632,0.43602,1.36479,1.41237,1.71743,0.000459924,0.000459924,0.000459924
139,17215.8,0.62939,0.56645,1.07459,0.69751,0.61148,0.62091,0.4364,1.36381,1.39029,1.72774,0.00045285,0.00045285,0.00045285
140,17320.6,0.62053,0.55431,1.07747,0.69721,0.59126,0.61087,0.43661,1.33753,1.39877,1.68855,0.000445777,0.000445777,0.000445777
141,17431.3,0.64469,0.56627,1.08398,0.69276,0.58299,0.60644,0.42761,1.3593,1.43467,1.71457,0.000438703,0.000438703,0.000438703
142,17610,0.61427,0.53615,1.07492,0.68011,0.60512,0.61495,0.43332,1.35249,1.41644,1.70471,0.000431629,0.000431629,0.000431629
143,17712.2,0.61836,0.53142,1.06046,0.67623,0.59437,0.61552,0.42672,1.37427,1.41849,1.73779,0.000424556,0.000424556,0.000424556
144,17831.2,0.63369,0.55843,1.08378,0.69724,0.6014,0.62692,0.4387,1.36324,1.37002,1.72917,0.000417482,0.000417482,0.000417482
145,17952,0.61343,0.54933,1.07254,0.67297,0.61322,0.62333,0.43493,1.37481,1.39315,1.75985,0.000410409,0.000410409,0.000410409
146,18056,0.61156,0.53404,1.0605,0.63833,0.63868,0.62804,0.43891,1.36061,1.39366,1.73265,0.000403335,0.000403335,0.000403335
147,18179.3,0.60014,0.52186,1.0611,0.69878,0.60494,0.62516,0.44275,1.34866,1.34893,1.71643,0.000396262,0.000396262,0.000396262
148,18326.2,0.60772,0.54022,1.06467,0.69166,0.59698,0.62196,0.43113,1.37532,1.42123,1.75096,0.000389188,0.000389188,0.000389188
149,18428.1,0.60607,0.5406,1.06637,0.71047,0.59272,0.6239,0.43696,1.36727,1.41489,1.72283,0.000382115,0.000382115,0.000382115
150,18539.5,0.59715,0.52879,1.05288,0.67586,0.58891,0.60398,0.43035,1.35966,1.45041,1.73015,0.000375041,0.000375041,0.000375041
151,18686.7,0.58263,0.50844,1.04805,0.6676,0.62112,0.60969,0.42863,1.37354,1.45406,1.74078,0.000367967,0.000367967,0.000367967
152,18796.9,0.59631,0.52344,1.05349,0.65973,0.61919,0.61333,0.425,1.37529,1.47373,1.74942,0.000360894,0.000360894,0.000360894
153,18936.5,0.58457,0.52076,1.05523,0.68083,0.61095,0.61891,0.42846,1.39341,1.43055,1.76993,0.00035382,0.00035382,0.00035382
154,19116.2,0.59154,0.52443,1.05651,0.68319,0.6066,0.60997,0.42992,1.37711,1.41107,1.75548,0.000346747,0.000346747,0.000346747
155,19222.4,0.58206,0.51577,1.05315,0.67446,0.584,0.6059,0.42675,1.38136,1.4052,1.78094,0.000339673,0.000339673,0.000339673
156,19363.5,0.57288,0.50667,1.05231,0.62994,0.62566,0.6081,0.42572,1.38764,1.4245,1.79212,0.0003326,0.0003326,0.0003326
157,19564.4,0.56609,0.50079,1.04432,0.62879,0.63527,0.61134,0.42793,1.3949,1.45453,1.79388,0.000325526,0.000325526,0.000325526
158,19774.2,0.58196,0.50552,1.04529,0.65533,0.62215,0.61234,0.4294,1.40191,1.44872,1.79118,0.000318453,0.000318453,0.000318453
159,19927.1,0.58282,0.50462,1.04582,0.63941,0.62223,0.60587,0.42787,1.36933,1.4975,1.73003,0.000311379,0.000311379,0.000311379
160,20033.9,0.57366,0.50196,1.04507,0.66043,0.60801,0.60263,0.43146,1.366,1.46525,1.72936,0.000304306,0.000304306,0.000304306
161,20163.5,0.55444,0.48474,1.0359,0.66073,0.63522,0.6136,0.42813,1.38044,1.43297,1.77576,0.000297232,0.000297232,0.000297232
162,20301.4,0.55674,0.48545,1.03493,0.67944,0.6177,0.62299,0.4396,1.3806,1.40112,1.78991,0.000290158,0.000290158,0.000290158
163,20406.1,0.56343,0.49143,1.0402,0.66234,0.63003,0.61277,0.43286,1.36562,1.45942,1.76784,0.000283085,0.000283085,0.000283085
164,20538,0.54735,0.4806,1.0347,0.70388,0.61389,0.61385,0.43489,1.38944,1.43199,1.77662,0.000276011,0.000276011,0.000276011
165,20683.1,0.54632,0.47739,1.03139,0.68925,0.6209,0.61847,0.43675,1.3813,1.43864,1.78617,0.000268938,0.000268938,0.000268938
166,20817.5,0.55293,0.48538,1.03719,0.68735,0.62079,0.6221,0.4386,1.40018,1.41163,1.79078,0.000261864,0.000261864,0.000261864
167,20948.1,0.54337,0.47544,1.02898,0.68972,0.60328,0.61484,0.4333,1.39021,1.43194,1.7942,0.000254791,0.000254791,0.000254791
168,21053.2,0.54617,0.47912,1.02287,0.67028,0.62747,0.6162,0.43294,1.40853,1.41316,1.81464,0.000247717,0.000247717,0.000247717
169,21170.9,0.55545,0.48064,1.03558,0.66214,0.62207,0.61943,0.43447,1.39939,1.41012,1.80516,0.000240644,0.000240644,0.000240644
170,21327,0.53998,0.46836,1.02363,0.72359,0.57554,0.61837,0.43625,1.39681,1.42995,1.78759,0.00023357,0.00023357,0.00023357
171,21433.5,0.54553,0.45832,1.03084,0.67958,0.62317,0.62408,0.43892,1.38799,1.38933,1.79665,0.000226497,0.000226497,0.000226497
172,21551.1,0.54271,0.46889,1.02879,0.71661,0.59926,0.61626,0.43685,1.40062,1.40655,1.79523,0.000219423,0.000219423,0.000219423
173,21722.8,0.53859,0.47068,1.02315,0.72741,0.59477,0.61817,0.43568,1.40026,1.44325,1.78736,0.000212349,0.000212349,0.000212349
174,21842.8,0.53932,0.46292,1.02162,0.68298,0.62438,0.61714,0.43736,1.39675,1.43161,1.7936,0.000205276,0.000205276,0.000205276
175,21972,0.53423,0.46699,1.02249,0.67814,0.6189,0.61196,0.43635,1.38976,1.44866,1.79389,0.000198202,0.000198202,0.000198202
176,22084.2,0.53062,0.46322,1.02016,0.67226,0.62794,0.61821,0.43844,1.40086,1.42792,1.80395,0.000191129,0.000191129,0.000191129
177,22216.3,0.51916,0.44845,1.01242,0.6987,0.61295,0.61237,0.44064,1.3883,1.44325,1.79492,0.000184055,0.000184055,0.000184055
178,22439.4,0.51718,0.43983,1.00943,0.68528,0.61591,0.6067,0.43392,1.35889,1.46275,1.76084,0.000176982,0.000176982,0.000176982
179,22548.2,0.54363,0.46152,1.03054,0.69002,0.60098,0.61257,0.4362,1.38704,1.46536,1.79037,0.000169908,0.000169908,0.000169908
